transid	transname                        	subsysid	trantype	tranmode	tranlevel	runmode	comlinetype	msgtype	vermacflg	vertellerflg	verbranchflg	rsvflag1	rsvflag2	rsvflag3	rsvflag4	rsvflag5	rsvflag6	rsvitem1                         	rsvitem2                         	rsvitem3                         	rsvitem4                         	rsvitem5                         	rsvitem6                         
pub050 	日终批量收费                     	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	                                 
plttst 	柜员登录                         	pub     	0       	0       	0        	1      	0          	0      	0        	0           	0           	1       	0       	0       	        	0       	0       	2                                	                                 	                                 	                                 	3                                	tppubsrv                         
nx9999 	农信银收取手续费                 	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx9998 	农信银收取手续费(通存通兑)       	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4410 	农信银工作日差业务清单打印       	chp     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4330 	农信银凭证查询与销号             	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4320 	农信银存款确认入账               	nxy     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4310 	农信银错帐控制                   	nxy     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4290 	农信银汇差记账                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	        	        	                                 	                                 	                                 	                                 	                                 	                                 
nx4280 	农信银生成机构文件               	chp     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4270 	农信银授权                       	chp     	        	        	         	1      	           	       	0        	2           	2           	0       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4260 	生成对帐明细文件                 	chp     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4250 	农信银帐户查询                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	0       	1       	0       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4240 	农信银冲正/抹帐请求              	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4230 	农信银内转业务                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4220 	农信银借记登记                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	        	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
nx4210 	农信银贷记记帐                   	chp     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpchpsrv                         
mms106 	理财签约信息维护                 	mms     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	1       	        	        	        	                                 	                                 	                                 	                                 	                                 	                                 
blns22 	国内保理收回融资                 	lns     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tplnssrv                         
blns21 	银行承兑汇票到期转款             	lns     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	                                 
999999 	柜员退出                         	pub     	0       	0       	0        	1      	0          	0      	0        	0           	0           	1       	0       	0       	        	0       	0       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999998 	12                               	12      	        	        	         	       	           	       	         	            	            	        	        	        	        	        	        	                                 	                                 	                                 	                                 	                                 	                                 
999997 	练习                             	tet     	        	        	         	1      	           	       	0        	2           	2           	0       	1       	0       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tptetsrv                         
999996 	修改表数据                       	cwq     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tptetsrv                         
999995 	查询表数据                       	cwq     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tptetsrv                         
999994 	增加表数据                       	cwq     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tptetsrv                         
999993 	查询                             	tet     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tptetsrv                         
999992 	查询                             	tel     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	                                 
999991 	查询客户名称                     	tel     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	                                 
999990 	查询客户信息                     	tet     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tptetsrv                         
99994  	维护对公客户辅助信息             	dps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpcissrv                         
999909 	增加                             	tet     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tptetsrv                         
999908 	打印报表                         	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	                                 
999907 	检查机构权限                     	tls     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tptlssrv                         
999901 	公共处理模块测试                 	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	1       	1       	                                 	1                                	                                 	                                 	                                 	tppubsrv                         
999809 	机构查询报表                     	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999808 	授权清单打印                     	pub     	        	        	         	1      	           	       	0        	2           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999807 	打印报表                         	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999806 	查询报表                         	pub     	        	        	         	1      	           	       	0        	2           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999805 	查询授权交易                     	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999804 	查询已授权交易                   	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999803 	查询需授权交易                   	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999802 	执行异地授权交易                 	pub     	        	        	         	1      	           	       	0        	2           	0           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999801 	异地授权                         	pub     	        	        	         	1      	           	       	0        	2           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999777 	测试TP                           	pub     	0       	0       	0        	1      	0          	0      	0        	0           	0           	0       	0       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999666 	验证机构                         	pub     	        	        	         	1      	           	       	0        	0           	2           	0       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999606 	他带本回单打印                   	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999605 	交易流水查询                     	pub     	        	        	         	1      	           	       	0        	0           	2           	0       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999604 	利率查询                         	gls     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpglssrv                         
999603 	科目日发生额查询                 	gls     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpglssrv                         
999602 	柜员末笔流水查询                 	pub     	        	        	         	1      	           	       	0        	0           	2           	0       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999601 	交易流水查询                     	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999555 	身份证号码验证                   	cis     	        	        	         	1      	           	       	0        	0           	2           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpcissrv                         
999554 	查询客户辅助信息是否存在         	cis     	        	        	         	1      	           	       	0        	2           	2           	0       	1       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpcissrv                         
999553 	查询                             	cis     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpcissrv                         
999552 	查询客户是否黑名单               	cis     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpcissrv                         
999111 	信息查询                         	ams     	0       	0       	0        	1      	0          	0      	0        	0           	0           	1       	0       	0       	        	0       	0       	                                 	                                 	                                 	                                 	                                 	tpamssrv                         
999099 	修改                             	tet     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tptetsrv                         
999061 	打印资金动态表                   	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
999002 	根据身份证查询柜员是否已存在     	tls     	0       	0       	0        	1      	0          	0      	0        	2           	0           	        	0       	        	        	0       	0       	                                 	                                 	                                 	                                 	                                 	tptlssrv                         
999001 	活期主帐户查询test               	cms     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	0       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpcmssrv                         
991234 	测试专用                         	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990999 	删除                             	tet     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tptetsrv                         
990793 	汇票类别的控制                   	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990618 	批量收费手工处理查询             	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990200 	支付系统与系统内汇兑关联         	pys     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppyssrv                         
990112 	反洗钱一次性交易登记             	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990111 	验印流水登记                     	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990110 	验印流水查询                     	pub     	        	        	         	1      	           	       	0        	2           	2           	0       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990100 	柜员交易权限检查                 	pub     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	0       	0       	0       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990083 	双敲复核查询                     	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990082 	双敲复核                         	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990081 	双敲复核登记                     	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990079 	账户违规罚款扣划查询             	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990072 	账户违规罚款扣划(字段启动)       	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990071 	账户违规罚款扣划                 	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990068 	垫付费用维护                     	aaa     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
990067 	垫付费用收回                     	aaa     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
990066 	收诉讼费                         	aaa     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
990060 	中间业务令牌验证                 	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990059 	批量收费手工处理                 	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990058 	欠费客户补缴费                   	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990057 	收费合同查询                     	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990055 	公共收费                         	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990054 	欠费客户明细打印                 	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990053 	收费登记簿查询/打印              	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990052 	收费凭证补打印                   	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990051 	定期收费合同登记                 	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990050 	中间业务取令牌                   	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990049 	新旧交换行号查询                 	pub     	0       	0       	0        	1      	0          	0      	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990048 	维护外汇牌价                     	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	0       	0       	0       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990046 	公告牌查询                       	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990045 	柜员权限检查                     	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	1       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990043 	城市代码查询                     	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990042 	币种查询                         	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990041 	科目字典查询                     	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990040 	外汇牌价查询                     	pub     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990031 	下属营业机构查询                 	pub     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990030 	日终帐户对转维护                 	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990023 	科目查询名称                     	pub     	        	        	         	1      	           	       	0        	0           	0           	0       	0       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990022 	科目字典其他维护                 	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990021 	科目字典新建                     	pub     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	0       	        	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990019 	隔日冲账账户信息查询             	pub     	        	        	         	1      	           	       	0        	7           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990012 	公共产品查询                     	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990011 	抵质押品查询                     	lns     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tplnssrv                         
990010 	账户客户信息及支取方式查询       	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990006 	销账信息查询                     	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990004 	公共产品查询                     	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990003 	收费计算交易                     	pub     	0       	0       	0        	1      	0          	0      	0        	2           	2           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
990002 	查询款项                         	pub     	        	        	         	1      	           	       	0        	0           	2           	1       	0       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tppubsrv                         
