transid	transname                        	subsysid	trantype	tranmode	tranlevel	runmode	comlinetype	msgtype	vermacflg	vertellerflg	verbranchflg	rsvflag1	rsvflag2	rsvflag3	rsvflag4	rsvflag5	rsvflag6	rsvitem1                         	rsvitem2                         	rsvitem3                         	rsvitem4                         	rsvitem5                         	rsvitem6                         
801114 	柜员基本信息下载请求信息（单笔） 	aaa     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
801113 	柜员身份验证请求信息             	aaa     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
801112 	保证金账户查询请求信息           	lns     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tplnssrv                         
801111 	存款账户明细查询请求信息         	aaa     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
801110 	存款账户信息查询请求信息         	aaa     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	0       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
801109 	抵质押品入库、出库核准信息       	aaa     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
801108 	抵债资产登记入帐核准信息         	aaa     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
801107 	保函开立核准信息                 	lns     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tplnssrv                         
801106 	贴现开户核准信息                 	lns     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tplnssrv                         
801105 	银承保证金调整核准信息           	aaa     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
801104 	银承签发核准信息                 	lns     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tplnssrv                         
801102 	贷款利率调整核准信息             	aaa     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
801101 	贷款展期核准信息                 	lns     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tplnssrv                         
801100 	贷款放款核准信息                 	lns     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tplnssrv                         
801056 	外围前置系统代收撤销交易         	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
801055 	外围前置系统代收交易             	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
801052 	外围前置系统消费撤销交易         	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
